STATE,YEAR,TOTAL_REVENUE,TOTAL_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE
New York,2010,55453300,60067253,14152383
North Carolina,2010,16621268,14162497,3873929
North Dakota,2010,1308214,1267426,342204
Ohio,2010,23247907,22701333,7468941
Oklahoma,2010,5778507,5971651,1901671
Oregon,2010,6219779,6398065,2054025
Pennsylvania,2010,27883991,28231191,7774897
Rhode Island,2010,2207123,2187163,758963
South Carolina,2010,7755419,8242553,2445636
South Dakota,2010,1292742,1281632,382212
Tennessee,2010,8405025,8760367,2516326
Texas,2010,50559500,53810244,14179639
Utah,2010,4250259,4326951,1002867
Vermont,2010,1749898,1719870,509650
Virginia,2010,14937195,14919831,4654459
Washington,2010,11919090,11820814,3402730
West Virginia,2010,3176874,3484593,1094980
Wisconsin,2010,11289720,11116821,3455651
Wyoming,2010,1718605,1696177,504838
Alabama,2009,7186390,7815467,2331552
Alaska,2009,2158970,2396412,832783
Arizona,2009,8802515,9580393,2983729
Arkansas,2009,4753142,5017352,1492691
California,2009,73958896,74766086,21693675
Colorado,2009,8310673,8682489,2708535
Connecticut,2009,9681268,9323053,2805173
Delaware,2009,1718993,1798244,496383
District of Columbia,2009,801008,805362,370127
Florida,2009,26494500,28867429,8067350
Georgia,2009,17972839,19025136,5135180
Hawaii,2009,2689758,2318671,718309
Idaho,2009,2182273,2078446,646213
Illinois,2009,26987426,27716187,8764971
Indiana,2009,12999357,11218398,3681825
Iowa,2009,5732319,5732186,1615189
Kansas,2009,5615208,5827751,1578417
Kentucky,2009,6706922,6831006,2050683
Louisiana,2009,7984550,8053960,2542723
Maine,2009,2623127,2624504,857706
Maryland,2009,13147931,12757599,3984072
Massachusetts,2009,15298022,15174814,4626112
Michigan,2009,19616665,19992550,6354021
Minnesota,2009,10353784,11193640,2712430
Mississippi,2009,4392101,4552756,1392119
Missouri,2009,9472520,10227305,3023041
Montana,2009,1607935,1622485,509899
Nebraska,2009,3522481,3523803,905681
Nevada,2009,4442101,4577881,1364083
New Hampshire,2009,2816162,2757401,822081
New Jersey,2009,26510413,26145334,8687138
New Mexico,2009,3703477,3945515,1167618
New York,2009,55885116,57851481,14079990
North Carolina,2009,15410564,14868070,3848021
North Dakota,2009,1150142,1137260,310316
Ohio,2009,22779344,22427481,7347959
Oklahoma,2009,6029807,5941799,1895590
Oregon,2009,6158756,6715011,2121378
Pennsylvania,2009,26755585,27328680,7637090
Rhode Island,2009,2179714,2171376,773039
South Carolina,2009,7669733,8427391,2463391
South Dakota,2009,1258876,1273527,379946
Tennessee,2009,8112895,8611178,2480290
Texas,2009,48087531,53575273,13799383
Utah,2009,4238943,4419750,1008636
Vermont,2009,1683034,1661019,489015
Virginia,2009,15251481,15510318,4813706
Washington,2009,12025012,12240632,3464921
West Virginia,2009,3097212,3121728,994305
Wisconsin,2009,10991081,10880480,3382519
Wyoming,2009,1675761,1658156,482641
Alabama,2008,7726213,7847387,2373070
Alaska,2008,2188587,2274819,740000
Arizona,2008,9272152,9581201,2878922
Arkansas,2008,4608356,4720720,1462092
California,2008,74626928,76618865,22310865
Colorado,2008,8070129,8884786,2765773
Connecticut,2008,9322225,9046750,2669596
Delaware,2008,1694998,1746925,494996
District of Columbia,2008,1224312,1224785,439197
Florida,2008,30001821,31219589,8465282
Georgia,2008,18683630,19172087,5115445
Hawaii,2008,2541703,2242408,742938
Idaho,2008,2151476,2001328,627415
Illinois,2008,25431714,25696866,8161836
Indiana,2008,11340157,10865851,3433093
Iowa,2008,5496908,5495756,1560614
Kansas,2008,5378095,5122049,1540862
Kentucky,2008,6637062,6793215,2027937
Louisiana,2008,7751886,7599993,2344416
Maine,2008,2594335,2582293,843451
Maryland,2008,13098112,12739693,3878575
Massachusetts,2008,14633578,14631545,4447719
Michigan,2008,20441973,20703780,6735708
Minnesota,2008,10118118,10462624,2589268
Mississippi,2008,4449009,4363308,1364586
Missouri,2008,9335599,9900419,2939293
Montana,2008,1562815,1557678,491537
Nebraska,2008,3383157,3325663,869629
Nevada,2008,4338601,4881218,1329327
New Hampshire,2008,2715463,2715961,783298
New Jersey,2008,25916004,26168480,8737387
New Mexico,2008,3569311,3599724,1129277
New York,2008,53147343,54870811,13610428
North Carolina,2008,13610326,13731201,3566002
North Dakota,2008,1104803,1085970,300054
Ohio,2008,22746589,21951104,7164617
Oklahoma,2008,5780151,5667749,1823162
Oregon,2008,6107684,6407512,2061901
Pennsylvania,2008,26357235,26597713,7655651
Rhode Island,2008,2173888,2175172,765970
South Carolina,2008,7743317,8167262,2467160
South Dakota,2008,1190917,1172715,351235
Tennessee,2008,8086152,8488521,2373319
Texas,2008,46245975,50205827,13360064
Utah,2008,4198001,4337917,948423
Vermont,2008,1888635,1888133,463215
Virginia,2008,14768120,15236306,4645375
Washington,2008,11195224,11677666,3369299
West Virginia,2008,2965828,3068910,945152
Wisconsin,2008,10619354,10545964,3294291
Wyoming,2008,1602514,1517325,449989
Alabama,2007,7069040,7196459,2174210
Alaska,2007,1800616,1938755,645857
Arizona,2007,8724434,8709531,2656438
Arkansas,2007,4415981,4779308,1378576
California,2007,72516936,73225422,20655194
Colorado,2007,7689014,8039146,2483095
Connecticut,2007,8913149,8685421,2503468
Delaware,2007,1694929,1705204,481610
District of Columbia,2007,1148358,1140506,437772
Florida,2007,28898362,29849892,8136539
Georgia,2007,17755989,17389530,4672304
Hawaii,2007,2985593,2199604,732536
Idaho,2007,2011951,1960472,590192
Illinois,2007,23897153,23401917,7509591
Indiana,2007,10458932,11462062,3351081
Iowa,2007,5194536,5198975,1480218
Kansas,2007,5038100,4823931,1418802
Kentucky,2007,6226696,6351636,1877438
Louisiana,2007,7048732,6657341,2140586
Maine,2007,2538161,2501127,710785
Maryland,2007,11674965,11541225,3503877
Massachusetts,2007,14407777,14315518,4248353
Michigan,2007,20576110,19839838,6721838
Minnesota,2007,9693509,10030105,2405182
Mississippi,2007,4220926,4158733,1296685
Missouri,2007,8908844,9245525,2738098
Montana,2007,1474306,1442434,463422
Nebraska,2007,3234014,3117931,845739
Nevada,2007,4006081,4346371,1216122
New Hampshire,2007,2600123,2608190,733978
New Jersey,2007,25293076,25572112,8316185
New Mexico,2007,3272953,3279467,1103097
New York,2007,50762544,51253984,12638159
North Carolina,2007,13063307,12794086,3582953
North Dakota,2007,1045678,1042175,283833
Ohio,2007,22142424,21336580,6930905
Oklahoma,2007,5491931,5505213,1732136
Oregon,2007,5648586,5634955,1908603
Pennsylvania,2007,25334577,25627083,7333616
Rhode Island,2007,2100679,2082332,731694
South Carolina,2007,7130274,7660995,2157719
South Dakota,2007,1136570,1096568,335382
Tennessee,2007,7617488,7817659,2144367
Texas,2007,44355326,45920825,12451077
Utah,2007,3656090,3618540,871613
Vermont,2007,1836316,1804519,439237
Virginia,2007,14176385,14700853,4338027
Washington,2007,10350748,10682397,3028183
West Virginia,2007,2905489,2983267,941055
Wisconsin,2007,10154985,9988878,3147269
Wyoming,2007,1477891,1390344,428613
Alabama,2006,6364028,6591429,1983482
Alaska,2006,1625138,1817656,601197
Arizona,2006,8084068,7934177,2436340
Arkansas,2006,4247664,4343877,1297593
California,2006,66302860,68722432,19079354
Colorado,2006,7295561,7803324,2518038
Connecticut,2006,8436197,7982143,2354944
Delaware,2006,1544615,1646885,467410
District of Columbia,2006,1092863,1081887,433933
Florida,2006,25423686,26609155,7492039
Georgia,2006,16165924,15839227,4432252
Hawaii,2006,2705532,1939968,643718
Idaho,2006,1875346,1903720,557225
Illinois,2006,22724326,22622323,7242674
Indiana,2006,11578988,11260755,3313154
Iowa,2006,4898509,4930613,1428006
Kansas,2006,4648920,4439000,1345794
Kentucky,2006,6002056,6112978,1830653
Louisiana,2006,6780668,6032182,1962367
Maine,2006,2381908,2381439,660506
Maryland,2006,10697117,10585292,3217615
Massachusetts,2006,14160242,13503621,3989906
Michigan,2006,19714584,20626758,6627833
Minnesota,2006,9314477,9671933,2317030
Mississippi,2006,4279581,4066036,1244115
Missouri,2006,8846493,8654672,2619786
Montana,2006,1375638,1377599,442662
Nebraska,2006,3107061,2867250,805633
Nevada,2006,3691628,4022979,1088646
New Hampshire,2006,2459051,2494247,696005
New Jersey,2006,23915685,24177714,7892051
New Mexico,2006,3094036,3099738,1016791
New York,2006,47018793,48359774,11898562
North Carolina,2006,11709885,11725031,3344466
North Dakota,2006,1008339,1017084,269235
Ohio,2006,20957714,20589584,6796495
Oklahoma,2006,5120286,5094695,1677749
Oregon,2006,5429145,5386128,1803634
Pennsylvania,2006,23950553,24195122,7025760
Rhode Island,2006,2004709,1983578,690355
South Carolina,2006,6752813,7148083,2071441
South Dakota,2006,1086433,1052315,334845
Tennessee,2006,7195519,7395357,1995464
Texas,2006,41142403,43394244,11672256
Utah,2006,3381146,3371338,821539
Vermont,2006,1725093,1711762,410862
Virginia,2006,13153845,13481336,3974403
Washington,2006,9679682,9915617,2852334
